תאריך,מספר לקוחות,Carciofi Alla Giodia,חציל פרמז'ן,טירמיסו,טליאטה די מנזו,כבדי עוף ובצל מטוגן,לברק שלם,לזניה בולונז,לינגוויני ארביאטה,לינגוויני ירקות,מאצי 4 גבינות,מאצי רוזה אפונה ובייקון,מבחר פטריות,נמסיס,סלט חסה גדול,סלט קולורבי,סלט קיסר,עוגת גבינה,פוקצ'ת הבית,פטוצ'יני תרד גורגונזולה,פנה קרבונרה,פסטה בולונז,פפרדלה פטריות ושמנת,פרגיות,קרפצ'יו בקר אורוגולה ופרמז'ן,שרימפס אליו פפרונצ'ינו,טורטלוני,פילה דג,פסטה פירות ים,ריזוטו,יום בשבוע,חודש
2024-05-09,415.0,13.0,18.0,59.0,12.0,6.0,5.0,24.0,20.0,13.0,11.0,11.0,15.0,17.0,18,20.0,17.0,16.0,93,45.0,18.0,20.0,37.0,9.0,27.0,16.0,22.0,16.0,4.0,9.0,5,5
2024-05-08,319.0,16.0,23.0,43.0,7.0,9.0,3.0,24.0,8.0,9.0,14.0,7.0,25.0,12.0,9,13.0,20.0,6.0,68,44.0,22.0,12.0,24.0,7.0,19.0,3.0,22.0,16.0,2.0,11.0,4,5
2024-05-07,305.0,10.0,24.0,42.0,8.0,10.0,4.0,15.0,12.0,10.0,7.0,9.0,13.0,10.0,16,11.0,20.0,17.0,91,40.0,22.0,13.0,20.0,13.0,27.0,9.0,27.0,13.0,5.0,10.0,3,5
2024-05-06,254.0,14.0,16.0,35.0,10.0,3.0,6.0,23.0,12.0,12.0,8.0,3.0,20.0,9.0,18,5.0,11.0,6.0,61,30.0,15.0,11.0,19.0,5.0,14.0,7.0,15.0,15.0,5.0,8.0,2,5
2024-05-05,280.0,1.0,1.0,12.0,19.0,1.0,0.0,3.0,1.0,17.0,1.0,3.0,4.0,2.0,3,3.0,4.0,3.0,111,44.0,3.0,2.0,4.0,6.0,9.0,4.0,27.0,1.0,1.0,1.0,1,5
2024-05-04,379.0,18.0,45.0,59.0,17.0,14.0,12.0,31.0,26.0,26.0,16.0,10.0,29.0,25.0,36,24.0,24.0,5.0,119,80.0,28.0,48.0,25.0,11.0,32.0,16.0,43.0,19.0,13.0,17.0,7,5
2024-05-03,387.0,11.0,34.0,61.0,21.0,14.0,8.0,24.0,22.0,8.0,10.0,14.0,30.0,20.0,29,23.0,29.0,15.0,103,46.0,37.0,34.0,24.0,15.0,35.0,14.0,31.0,39.0,16.0,15.0,6,5
2024-05-02,352.0,13.0,17.0,37.0,3.0,2.0,2.0,21.0,13.0,5.0,9.0,10.0,28.0,15.0,15,21.0,18.0,9.0,71,37.0,21.0,18.0,35.0,5.0,16.0,10.0,20.0,11.0,6.0,14.0,5,5
2024-05-01,357.0,14.0,26.0,57.0,9.0,8.0,3.0,14.0,13.0,15.0,7.0,5.0,20.0,12.0,26,14.0,21.0,20.0,68,54.0,23.0,16.0,17.0,9.0,19.0,7.0,17.0,11.0,10.0,14.0,4,5
2024-04-30,307.0,15.0,16.0,37.0,5.0,5.0,2.0,10.0,16.0,12.0,5.0,6.0,13.0,7.0,19,9.0,13.0,12.0,58,37.0,10.0,15.0,21.0,5.0,19.0,3.0,24.0,5.0,5.0,6.0,3,4
2024-04-29,296.0,17.0,34.0,56.0,12.0,12.0,4.0,36.0,11.0,18.0,12.0,18.0,31.0,16.0,12,16.0,23.0,18.0,99,68.0,38.0,32.0,28.0,9.0,33.0,15.0,47.0,22.0,15.0,12.0,2,4
2024-04-28,326.0,7.0,22.0,46.0,14.0,16.0,5.0,30.0,11.0,18.0,4.0,20.0,25.0,17.0,27,18.0,16.0,4.0,88,31.0,41.0,23.0,21.0,18.0,32.0,16.0,20.0,17.0,17.0,16.0,1,4
2024-04-27,351.0,14.0,26.0,48.0,24.0,18.0,8.0,37.0,19.0,10.0,12.0,17.0,25.0,12.0,25,25.0,24.0,17.0,80,51.0,30.0,33.0,33.0,23.0,40.0,22.0,31.0,40.0,12.0,12.0,7,4
2024-04-26,332.0,10.0,26.0,51.0,18.0,21.0,4.0,43.0,14.0,21.0,11.0,20.0,34.0,26.0,19,21.0,25.0,20.0,88,47.0,38.0,37.0,24.0,14.0,40.0,18.0,35.0,34.0,12.0,11.0,6,4
2024-04-25,324.0,14.0,14.0,55.0,11.0,8.0,4.0,14.0,11.0,9.0,16.0,22.0,24.0,4.0,15,17.0,19.0,17.0,78,49.0,30.0,24.0,27.0,10.0,24.0,7.0,23.0,9.0,18.0,13.0,5,4
2024-04-24,284.0,9.0,13.0,41.0,15.0,4.0,4.0,25.0,8.0,3.0,10.0,16.0,17.0,17.0,21,24.0,20.0,10.0,64,35.0,40.0,22.0,26.0,14.0,24.0,13.0,14.0,8.0,12.0,14.0,4,4
2024-04-21,280.0,13.0,24.0,48.0,15.0,4.0,1.0,28.0,11.0,17.0,16.0,12.0,25.0,19.0,16,13.0,21.0,12.0,97,62.0,23.0,28.0,26.0,8.0,18.0,12.0,24.0,17.0,4.0,9.0,1,4
2024-04-20,376.0,14.0,42.0,44.0,19.0,6.0,9.0,48.0,26.0,26.0,16.0,16.0,33.0,24.0,31,24.0,26.0,5.0,123,68.0,40.0,37.0,44.0,14.0,44.0,13.0,42.0,32.0,11.0,15.0,7,4
2024-04-19,362.5,14.0,48.0,34.0,25.0,19.0,11.0,57.0,22.0,20.0,9.0,20.0,31.0,8.0,33,18.0,28.0,21.0,116,50.0,51.0,37.0,32.0,23.0,32.0,17.0,32.0,30.0,19.0,11.0,6,4
2024-04-18,387.0,9.0,24.0,56.0,9.0,8.0,2.0,23.0,18.0,21.0,11.0,16.0,30.0,13.0,21,16.0,25.0,13.0,113,44.0,25.0,15.0,30.0,10.0,28.0,14.0,36.0,14.0,8.0,18.0,5,4
2024-04-17,300.0,8.0,23.0,54.0,9.0,8.0,8.0,10.0,20.0,9.0,8.0,10.0,25.0,7.0,17,25.0,12.0,13.0,87,35.0,22.0,16.0,21.0,3.0,28.0,8.0,29.0,2.0,7.0,15.0,4,4
2024-04-16,278.0,18.0,20.0,58.0,11.0,9.0,4.0,22.0,11.0,13.0,11.0,13.0,16.0,11.0,19,19.0,15.0,7.0,76,30.0,25.0,16.0,18.0,9.0,19.0,20.0,18.0,19.0,13.0,13.0,3,4
2024-04-15,352.0,14.0,27.0,53.0,7.0,7.0,9.0,21.0,15.0,12.0,10.0,15.0,19.0,18.0,9,23.0,12.0,12.0,96,39.0,25.0,20.0,22.0,9.0,26.0,12.0,32.0,11.0,17.0,16.0,2,4
2024-04-14,256.0,11.0,14.0,36.0,3.0,5.0,7.0,14.0,15.0,7.0,11.0,12.0,10.0,11.0,14,16.0,13.0,12.0,62,33.0,18.0,13.0,25.0,5.0,15.0,14.0,15.0,6.0,6.0,6.0,1,4
2024-04-13,410.0,19.0,43.0,67.0,21.0,14.0,5.0,37.0,10.0,12.0,19.0,13.0,28.0,22.0,16,24.0,33.0,17.0,135,68.0,45.0,35.0,13.0,19.0,42.0,22.0,38.0,36.0,18.0,16.0,7,4
2024-04-12,359.0,17.0,37.0,52.0,24.0,7.0,4.0,49.0,10.0,23.0,13.0,16.0,18.0,15.0,30,19.0,15.0,14.0,113,49.0,42.0,30.0,34.0,5.0,21.0,20.0,22.0,35.0,8.0,21.0,6,4
2024-04-11,383.0,10.0,21.0,57.0,14.0,2.0,2.0,20.0,13.0,10.0,12.0,13.0,24.0,21.0,19,16.0,32.0,15.0,115,50.0,26.0,18.0,30.0,4.0,28.0,12.0,29.0,20.0,12.0,19.0,5,4
2024-04-10,325.0,7.0,27.0,45.0,13.0,4.0,6.0,21.0,7.0,8.0,9.0,10.0,19.0,11.0,16,13.0,21.0,8.0,85,32.0,21.0,21.0,16.0,10.0,20.0,12.0,23.0,11.0,8.0,15.0,4,4
2024-04-09,312.0,16.0,26.0,44.0,4.0,11.0,12.0,21.0,12.0,6.0,25.0,8.0,22.0,12.0,20,19.0,14.0,13.0,76,36.0,16.0,29.0,20.0,10.0,17.0,15.0,17.0,12.0,13.0,13.0,3,4
2024-04-08,306.0,10.0,20.0,41.0,12.0,14.0,4.0,20.0,15.0,12.0,7.0,7.0,32.0,26.0,25,15.0,29.0,17.0,77,26.0,15.0,20.0,14.0,8.0,23.0,8.0,19.0,17.0,9.0,7.0,2,4
2024-04-07,268.0,8.0,11.0,38.0,8.0,11.0,7.0,10.0,11.0,10.0,5.0,12.0,19.0,17.0,13,19.0,16.0,15.0,60,29.0,16.0,9.0,17.0,5.0,14.0,10.0,18.0,7.0,12.0,7.0,1,4
2024-04-06,369.0,16.0,34.0,64.0,16.0,14.0,4.0,34.0,21.0,22.0,21.0,19.0,35.0,16.0,30,29.0,25.0,21.0,123,66.0,41.0,29.0,31.0,19.0,42.0,22.0,51.0,28.0,14.0,11.0,7,4
2024-04-05,348.0,13.0,42.0,44.0,20.0,5.0,7.0,40.0,22.0,14.0,14.0,15.0,27.0,21.0,27,18.0,18.0,14.0,109,45.0,37.0,35.0,23.0,10.0,36.0,22.0,29.0,42.0,15.0,10.0,6,4
2024-04-04,355.0,12.0,23.0,51.0,18.0,12.0,5.0,18.0,22.0,4.0,12.0,12.0,25.0,10.0,24,19.0,28.0,17.0,107,37.0,24.0,19.0,22.0,5.0,21.0,24.0,29.0,12.0,4.0,9.0,5,4
2024-04-03,278.0,17.0,14.0,48.0,10.0,7.0,2.0,13.0,9.0,14.0,8.0,10.0,21.0,6.0,20,18.0,12.0,5.0,68,36.0,18.0,15.0,22.0,6.0,21.0,8.0,15.0,12.0,7.0,8.0,4,4
2024-04-02,307.0,12.0,21.0,40.0,12.0,9.0,3.0,32.0,14.0,16.0,2.0,15.0,29.0,9.0,23,23.0,25.0,21.0,88,43.0,26.0,22.0,29.0,10.0,26.0,9.0,32.0,18.0,6.0,10.0,3,4
2024-04-01,294.0,5.0,27.0,45.0,23.0,11.0,5.0,17.0,19.0,19.0,7.0,8.0,33.0,8.0,27,20.0,17.0,16.0,96,44.0,31.0,18.0,24.0,14.0,24.0,16.0,26.0,9.0,9.0,10.0,2,4
2024-03-31,306.0,8.0,19.0,47.0,5.0,6.0,5.0,18.0,18.0,10.0,6.0,3.0,18.0,16.0,16,10.0,17.0,15.0,81,43.0,22.0,12.0,22.0,11.0,27.0,5.0,20.0,9.0,7.0,9.0,1,3
2024-03-30,427.0,19.0,35.0,72.0,18.0,15.0,9.0,45.0,16.0,17.0,12.0,11.0,19.0,17.0,32,29.0,38.0,12.0,142,35.0,36.0,38.0,47.0,21.0,42.0,18.0,47.0,14.0,18.0,16.0,7,3
2024-03-29,372.0,14.0,36.0,72.0,12.0,14.0,12.0,37.0,15.0,20.0,9.0,14.0,34.0,27.0,22,19.0,27.0,14.0,112,47.0,35.0,38.0,24.0,6.0,30.0,20.0,38.0,27.0,11.0,18.0,6,3
2024-03-28,403.0,12.0,27.0,55.0,12.0,5.0,5.0,16.0,16.0,11.0,17.0,12.0,19.0,15.0,23,11.0,25.0,15.0,111,48.0,26.0,24.0,31.0,12.0,16.0,18.0,26.0,16.0,9.0,12.0,5,3
2024-03-27,311.0,16.0,13.0,47.0,7.0,3.0,5.0,21.0,15.0,9.0,7.0,12.0,20.0,10.0,21,22.0,24.0,16.0,52,42.0,18.0,18.0,25.0,10.0,19.0,11.0,17.0,14.0,5.0,11.0,4,3
2024-03-26,344.0,15.0,27.0,36.0,11.0,6.0,6.0,23.0,15.0,10.0,8.0,14.0,33.0,13.0,19,14.0,18.0,7.0,87,30.0,24.0,13.0,35.0,4.0,20.0,15.0,26.0,10.0,15.0,15.0,3,3
2024-03-25,294.0,24.0,30.0,44.0,7.0,7.0,8.0,18.0,22.0,11.0,8.0,12.0,28.0,10.0,21,26.0,27.0,9.0,95,63.0,29.0,29.0,24.0,10.0,19.0,9.0,26.0,8.0,14.0,10.0,2,3
2024-03-24,270.0,11.0,19.0,32.0,9.0,5.0,4.0,32.0,11.0,12.0,5.0,20.0,22.0,19.0,18,10.0,20.0,11.0,94,41.0,30.0,22.0,13.0,7.0,21.0,13.0,28.0,8.0,15.0,12.0,1,3
2024-03-23,342.0,12.0,42.0,39.0,22.0,18.0,9.0,43.0,13.0,25.0,16.0,23.0,25.0,14.0,36,24.0,30.0,15.0,113,55.0,47.0,36.0,35.0,16.0,43.0,16.0,36.0,33.0,0.0,22.0,7,3
2024-03-22,343.0,19.0,34.0,49.0,25.0,9.0,11.0,26.0,16.0,24.0,8.0,17.0,33.0,8.0,24,22.0,18.0,12.0,105,38.0,48.0,36.0,33.0,11.0,31.0,9.0,35.0,38.0,10.0,10.0,6,3
2024-03-21,422.0,14.0,30.0,38.0,17.0,5.0,4.0,35.0,19.0,17.0,19.0,21.0,20.0,19.0,13,23.0,31.0,18.0,107,49.0,23.0,13.0,30.0,9.0,29.0,10.0,24.0,13.0,15.0,12.0,5,3
2024-03-20,332.0,15.0,25.0,47.0,15.0,7.0,6.0,20.0,15.0,18.0,9.0,5.0,37.0,11.0,17,18.0,20.0,6.0,82,48.0,28.0,10.0,22.0,9.0,29.0,17.0,19.0,9.0,10.0,9.0,4,3
2024-03-19,307.0,21.0,23.0,40.0,15.0,7.0,4.0,21.0,22.0,8.0,16.0,15.0,17.0,9.0,28,7.0,23.0,9.0,88,62.0,26.0,12.0,23.0,8.0,25.0,12.0,19.0,17.0,21.0,18.0,3,3
2024-03-18,294.0,12.0,28.0,44.0,18.0,7.0,5.0,21.0,14.0,10.0,14.0,20.0,18.0,8.0,14,26.0,23.0,8.0,92,47.0,38.0,19.0,16.0,9.0,23.0,10.0,22.0,10.0,8.0,13.0,2,3
2024-03-17,307.0,16.0,16.0,38.0,6.0,10.0,4.0,17.0,17.0,4.0,19.0,10.0,20.0,12.0,18,14.0,23.0,15.0,78,35.0,17.0,18.0,21.0,8.0,22.0,7.0,21.0,12.0,7.0,11.0,1,3
2024-03-16,406.0,10.0,24.0,55.0,23.0,14.0,9.0,49.0,23.0,22.0,16.0,22.0,30.0,16.0,29,25.0,18.0,11.0,145,77.0,47.0,37.0,43.0,14.0,37.0,18.0,32.0,33.0,18.0,21.0,7,3
2024-03-15,385.0,12.0,41.0,49.0,25.0,3.0,4.0,48.0,25.0,16.0,18.0,24.0,36.0,17.0,28,23.0,29.0,12.0,134,55.0,39.0,26.0,28.0,2.0,44.0,19.0,25.0,20.0,21.0,10.0,6,3
2024-03-14,361.0,14.0,35.0,44.0,10.0,8.0,8.0,26.0,20.0,13.0,16.0,13.0,25.0,15.0,16,22.0,25.0,10.0,128,62.0,30.0,23.0,41.0,8.0,33.0,14.0,26.0,12.0,8.0,22.0,5,3
2024-03-13,303.0,16.0,21.0,50.0,5.0,10.0,3.0,22.0,14.0,9.0,10.0,4.0,34.0,26.0,17,13.0,32.0,11.0,88,46.0,22.0,21.0,25.0,7.0,17.0,8.0,31.0,11.0,9.0,13.0,4,3
2024-03-12,352.0,13.0,21.0,35.0,8.0,4.0,1.0,12.0,17.0,6.0,9.0,13.0,22.0,9.0,17,16.0,21.0,7.0,107,45.0,21.0,17.0,27.0,5.0,34.0,13.0,29.0,9.0,7.0,19.0,3,3
2024-03-11,315.0,22.0,25.0,31.0,17.0,8.0,5.0,17.0,13.0,18.0,8.0,10.0,21.0,10.0,19,15.0,22.0,7.0,90,43.0,15.0,10.0,13.0,4.0,21.0,10.0,26.0,15.0,9.0,9.0,2,3
2024-03-10,333.0,12.0,25.0,27.0,14.0,5.0,4.0,13.0,16.0,5.0,8.0,17.0,23.0,9.0,33,15.0,11.0,5.0,83,31.0,16.0,17.0,26.0,11.0,22.0,13.0,22.0,19.0,7.0,9.0,1,3
2024-03-09,378.0,19.0,43.0,51.0,20.0,12.0,5.0,45.0,25.0,21.0,25.0,22.0,36.0,18.0,30,24.0,31.0,13.0,147,66.0,54.0,38.0,44.0,17.0,35.0,23.0,43.0,23.0,4.0,23.0,7,3
2024-03-08,376.0,19.0,25.0,47.0,27.0,12.0,5.0,43.0,20.0,14.0,15.0,20.0,38.0,19.0,29,29.0,20.0,10.0,132,66.0,36.0,48.0,43.0,21.0,38.0,24.0,19.0,32.0,8.0,11.0,6,3
2024-03-07,377.0,12.0,30.0,40.0,6.0,10.0,5.0,17.0,9.0,17.0,10.0,13.0,21.0,11.0,22,21.0,29.0,7.0,106,50.0,26.0,20.0,28.0,3.0,22.0,8.0,39.0,9.0,9.0,23.0,5,3
2024-03-06,359.0,9.0,26.0,42.0,17.0,15.0,10.0,20.0,17.0,8.0,10.0,11.0,21.0,9.0,21,16.0,18.0,11.0,93,44.0,33.0,24.0,21.0,9.0,33.0,6.0,24.0,15.0,6.0,11.0,4,3
2024-03-05,326.0,13.0,17.0,31.0,14.0,11.0,2.0,13.0,10.0,12.0,10.0,12.0,24.0,12.0,15,26.0,18.0,9.0,77,52.0,17.0,12.0,27.0,5.0,17.0,8.0,27.0,12.0,8.0,14.0,3,3
2024-03-04,351.0,10.0,28.0,30.0,13.0,10.0,4.0,14.0,18.0,12.0,11.0,10.0,22.0,12.0,18,27.0,22.0,6.0,84,49.0,27.0,13.0,25.0,11.0,17.0,14.0,26.0,10.0,6.0,8.0,2,3
2024-03-03,297.0,10.0,20.0,29.0,4.0,7.0,10.0,18.0,15.0,11.0,5.0,10.0,33.0,5.0,21,12.0,14.0,5.0,87,42.0,20.0,16.0,22.0,7.0,20.0,14.0,22.0,13.0,11.0,13.0,1,3
2024-03-02,366.5,15.0,53.0,61.0,20.0,18.0,9.0,59.0,16.0,5.0,18.0,26.0,31.0,20.0,37,33.0,17.0,14.0,151,69.0,47.0,10.0,24.0,7.0,34.0,17.0,42.0,42.0,18.0,15.0,7,3
2024-03-01,387.0,11.0,35.0,38.0,21.0,10.0,4.0,41.0,14.0,22.0,11.0,21.0,19.0,16.0,27,22.0,16.0,11.0,100,63.0,41.0,34.0,22.0,18.0,39.0,16.0,23.0,38.0,12.0,8.0,6,3
2024-02-29,396.0,14.0,32.0,40.0,16.0,8.0,8.0,23.0,16.0,11.0,11.0,17.0,20.0,14.0,19,26.0,34.0,6.0,103,41.0,27.0,18.0,28.0,7.0,16.0,15.0,36.0,14.0,11.0,16.0,5,2
